   2ns clock=0 pc=         0 inst=xxxxxxxx rs1_addr= x rs1_data=         x rs2_addr= x rs2_data=         x
  84ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  84ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  85ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  85ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  86ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  86ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  87ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  87ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  88ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  88ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  89ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  89ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  90ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  90ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  91ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  91ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  92ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  92ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  93ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  93ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  94ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  94ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  95ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  95ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  96ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  96ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  97ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  97ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  98ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  98ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  99ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
  99ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 100ns clock=1 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
 100ns clock=0 pc=         x inst=xxxxxxxx rs1_addr= x rs1_data=         0 rs2_addr= x rs2_data=         0
